X,Y,SPECIES NAME
4536500,3059500,Acer pseudoplatanus
4149500,3365500,Acer pseudoplatanus
4200500,2886500,Acer pseudoplatanus
4052500,3180500,Acer pseudoplatanus
4074500,2918500,Acer pseudoplatanus
4206500,2760500,Acer pseudoplatanus
4122500,3036500,Acer pseudoplatanus
4317500,3300500,Acer pseudoplatanus
4159500,3159500,Acer pseudoplatanus
4165500,3019500,Acer pseudoplatanus
4365500,3462500,Acer pseudoplatanus
4486500,2775500,Acer pseudoplatanus
4418500,3198500,Acer pseudoplatanus
4462500,2759500,Acer pseudoplatanus
4269500,3425500,Acer pseudoplatanus
4295500,3149500,Acer pseudoplatanus
4412500,3426500,Acer pseudoplatanus
4171500,2848500,Acer pseudoplatanus
4202500,3030500,Acer pseudoplatanus
4499500,2876500,Acer pseudoplatanus
4284500,3233500,Acer pseudoplatanus
4073500,3123500,Acer pseudoplatanus
4148500,3029500,Acer pseudoplatanus
4188500,3052500,Acer pseudoplatanus
4364500,2856500,Acer pseudoplatanus
4189500,2872500,Acer pseudoplatanus
4508500,3074500,Acer pseudoplatanus
4103500,3093500,Acer pseudoplatanus
4155500,3143500,Acer pseudoplatanus
4256500,3501500,Acer pseudoplatanus
4190500,2948500,Acer pseudoplatanus
4354500,3356500,Acer pseudoplatanus
4600500,3361500,Acer pseudoplatanus
4170500,3048500,Acer pseudoplatanus
4424500,3430500,Acer pseudoplatanus
4131500,3001500,Acer pseudoplatanus
4322500,2918500,Acer pseudoplatanus
4243500,2867500,Acer pseudoplatanus
4183500,2836500,Acer pseudoplatanus
4144500,2767500,Acer pseudoplatanus
4591500,3380500,Acer pseudoplatanus
4146500,2771500,Acer pseudoplatanus
4485500,3083000,Acer pseudoplatanus
4446500,3445500,Acer pseudoplatanus
4323500,2816500,Acer pseudoplatanus
4390500,3193500,Acer pseudoplatanus
4318500,3040500,Acer pseudoplatanus
4162500,3053500,Acer pseudoplatanus
4150500,3079500,Acer pseudoplatanus
4204500,2930500,Acer pseudoplatanus
4141500,3043500,Acer pseudoplatanus
4414500,3222500,Acer pseudoplatanus
4304500,3221500,Acer pseudoplatanus
4431500,3018500,Acer pseudoplatanus
4144500,3057500,Acer pseudoplatanus
4062500,2999500,Acer pseudoplatanus
4092500,3110500,Acer pseudoplatanus
4341500,3454500,Acer pseudoplatanus
4424500,3266500,Betula pendula
4365500,3378500,Betula pendula
4560500,3390500,Betula pendula
4430500,3434500,Betula pendula
4227500,3312500,Betula pendula
4464500,3053500,Betula pendula
4206500,2910500,Betula pendula
4233500,3290500,Betula pendula
4157500,3299500,Betula pendula
4468500,3283500,Betula pendula
4380500,3373500,Betula pendula
4203500,3312500,Betula pendula
4107500,2945500,Betula pendula
4349500,3256500,Betula pendula
4268500,3181500,Betula pendula
4600500,3164500,Betula pendula
4281500,3301500,Betula pendula
4234500,3382500,Betula pendula
4248500,3355500,Betula pendula
4411500,2725500,Betula pendula
4353500,3280500,Betula pendula
4539500,3411500,Betula pendula
4478500,3141500,Betula pendula
4313500,3434500,Betula pendula
4367500,3308500,Betula pendula
4501500,3482500,Betula pendula
4246500,3377500,Betula pendula
4619500,3230500,Betula pendula
4321500,3424500,Betula pendula
4310500,3357500,Betula pendula
4050500,3132500,Betula pendula
4249500,3005500,Betula pendula
4311500,3403500,Betula pendula
4229500,3290500,Betula pendula
4237500,3270500,Betula pendula
4449500,3389500,Betula pendula
4475500,3471500,Betula pendula
4286500,3325500,Betula pendula
4162500,3041500,Betula pendula
4526500,3155500,Betula pendula
4526500,3201500,Betula pendula
4628500,3158500,Betula pendula
4361500,3240500,Betula pendula
4607500,3173500,Betula pendula
4617500,3201500,Betula pendula
4135500,3051500,Betula pendula
4381500,3385500,Betula pendula
4545500,3399500,Betula pendula
4479500,3167500,Betula pendula
4520500,3355500,Betula pendula
4205500,3286500,Betula pendula
4279500,3429500,Betula pendula
4315500,3434500,Betula pendula
4252500,3383500,Betula pendula
4207500,3284500,Betula pendula
4520500,3363500,Betula pendula
4307500,3405500,Betula pendula
4286500,3507500,Betula pendula
4251500,3389500,Betula pendula
4460500,3151500,Betula pendula
4159500,3269500,Betula pendula
4426500,3368500,Betula pendula
4258500,3341500,Betula pendula
4379500,3377500,Betula pendula
4527500,3323000,Betula pendula
4533500,3377500,Betula pendula
4251500,3279500,Betula pendula
4490500,3358500,Betula pendula
4309500,3401500,Betula pendula
4489500,3112500,Betula pendula
4309500,3411500,Betula pendula
4483500,3187500,Betula pendula
4095500,3078500,Betula pendula
4523500,3379500,Betula pendula
4176500,3074500,Betula pendula
4511500,2888500,Betula pendula
4636500,3219500,Betula pendula
4229500,3266500,Betula pendula
4578500,3391500,Betula pendula
4065500,2979500,Betula pendula
4267500,3393500,Betula pendula
4177500,2824500,Betula pendula
4509500,3158500,Betula pendula
4483500,3466500,Betula pendula
4491500,3118500,Betula pendula
4293500,3447500,Betula pendula
4569500,3435500,Betula pendula
4249500,3281500,Betula pendula
4172500,3234500,Betula pendula
4526500,3053500,Betula pendula
4503500,3376500,Betula pendula
4122500,3284500,Betula pendula
4479500,3163500,Betula pendula
4195500,3264500,Betula pendula
4249500,3273500,Betula pendula
4200500,2884500,Betula pendula
4503500,3482500,Betula pendula
4572500,2842500,Betula pendula
4156500,3235500,Betula pendula
4168500,2779500,Betula pendula
4591500,3430500,Betula pendula
4524500,3363500,Betula pendula
4299500,3263500,Betula pendula
4484500,3272500,Betula pendula
4115500,3233500,Betula pendula
4560500,3414500,Betula pendula
4256500,3347500,Betula pendula
4481500,3107500,Betula pendula
4266500,3345500,Betula pendula
4498500,3418500,Betula pendula
4400500,3153500,Betula pendula
4630500,3194500,Betula pendula
4176500,3234500,Betula pendula
4530500,3057500,Betula pendula
4563500,3424500,Betula pendula
4185500,2866500,Betula pendula
4209500,3290500,Betula pendula
4433500,3262500,Betula pendula
4311500,3409500,Betula pendula
4478500,2919500,Betula pendula
4389500,3257500,Betula pendula
4106500,2913500,Betula pendula
4187500,3260500,Betula pendula
4523500,3397500,Betula pendula
4239500,3264500,Betula pendula
4480500,3361500,Betula pendula
4284500,3463500,Betula pendula
4515500,3176500,Betula pendula
4212500,3194500,Betula pendula
4395500,3309500,Betula pendula
4257500,3399500,Betula pendula
4287500,3441500,Betula pendula
4144500,3037500,Betula pendula
4265500,3277500,Betula pendula
4240500,2945500,Betula pendula
4590500,3075500,Betula pendula
4230500,3370500,Betula pendula
4440500,3064500,Betula pendula
4436500,2842500,Betula pendula
4158500,2919500,Betula pendula
4486000,3275000,Betula pendula
4317500,3308500,Betula pendula
4277500,3313500,Betula pendula
4136500,3328500,Betula pendula
4427500,3376500,Betula pendula
4252500,3387500,Betula pendula
4275500,3445500,Betula pendula
4651500,3146500,Betula pendula
4613500,3149500,Betula pendula
4199500,3304500,Betula pendula
4288500,3241500,Betula pendula
4129500,3044500,Carpinus betulus
4333500,2844500,Carpinus betulus
4171500,2834500,Carpinus betulus
4483500,3398500,Carpinus betulus
4090500,2990500,Carpinus betulus
4126500,2992500,Carpinus betulus
4166500,2785500,Carpinus betulus
4147500,2971500,Carpinus betulus
4158500,2775500,Carpinus betulus
4242500,3049500,Carpinus betulus
4280500,3181500,Carpinus betulus
4392500,3137500,Carpinus betulus
4369500,3240500,Carpinus betulus
4076500,3099500,Carpinus betulus
4224500,2732500,Carpinus betulus
4129500,3052500,Carpinus betulus
4360500,3440500,Carpinus betulus
4302500,2927500,Carpinus betulus
4137500,3051500,Carpinus betulus
4153500,3025500,Carpinus betulus
4095500,3085500,Carpinus betulus
4141500,3011500,Carpinus betulus
4156500,2947500,Carpinus betulus
4420500,2916500,Carpinus betulus
4350500,3028500,Fagus sylvatica
4295500,2825500,Fagus sylvatica
4304500,2753500,Fagus sylvatica
4405500,3163000,Fagus sylvatica
4293500,3429500,Fagus sylvatica
4235500,2868500,Fagus sylvatica
4189500,2998500,Fagus sylvatica
4250500,2787500,Fagus sylvatica
4308500,3465500,Fagus sylvatica
4158500,2759500,Fagus sylvatica
4314500,2900500,Fagus sylvatica
4163500,3019500,Fagus sylvatica
4374500,3366500,Fagus sylvatica
4162500,2763500,Fagus sylvatica
4206500,3046500,Fagus sylvatica
4383500,3189500,Fagus sylvatica
4341500,2864500,Fagus sylvatica
4167500,3014500,Fagus sylvatica
4193500,2846500,Fagus sylvatica
4424000,3014500,Fagus sylvatica
4294500,2785500,Fagus sylvatica
4300500,3473500,Fagus sylvatica
4176500,2935500,Fagus sylvatica
4228500,2898500,Fagus sylvatica
4158500,2943500,Fagus sylvatica
4453500,3407500,Fagus sylvatica
4247500,2809500,Fagus sylvatica
4537500,3381500,Fagus sylvatica
4102500,3137500,Fagus sylvatica
4252500,3217500,Fagus sylvatica
4132500,2999500,Fagus sylvatica
4505500,3462500,Fagus sylvatica
4171500,3018500,Fagus sylvatica
4275500,3137500,Fagus sylvatica
4138000,3281000,Fagus sylvatica
4157500,2725500,Fagus sylvatica
4554500,3356000,Fagus sylvatica
4272500,3323500,Fagus sylvatica
4305500,2997500,Fagus sylvatica
4578500,3393500,Fagus sylvatica
4444500,2998500,Fagus sylvatica
4336500,2790500,Fagus sylvatica
4247500,3149500,Fagus sylvatica
4296500,3511500,Fagus sylvatica
4306500,2911500,Fagus sylvatica
4125500,2932500,Fagus sylvatica
4153500,3023500,Fagus sylvatica
4529500,3085500,Fagus sylvatica
4227500,3138500,Fagus sylvatica
4554500,3498500,Fagus sylvatica
4280500,2793500,Fagus sylvatica
4284000,3198500,Fagus sylvatica
4423500,3382500,Fagus sylvatica
4244500,3193500,Fagus sylvatica
4556500,3500500,Fagus sylvatica
4282500,2915500,Fagus sylvatica
4160500,2907500,Fagus sylvatica
4147500,3135500,Fagus sylvatica
4174500,3054500,Fagus sylvatica
4251500,3145500,Fagus sylvatica
4289500,2815500,Fagus sylvatica
4365500,3400500,Fagus sylvatica
4309500,2981500,Fagus sylvatica
4283500,2819500,Fagus sylvatica
4079500,2972500,Fagus sylvatica
4331500,3444500,Fagus sylvatica
4106500,2955500,Fagus sylvatica
4223500,2812500,Fagus sylvatica
4349500,2856500,Fagus sylvatica
4306500,3057500,Fagus sylvatica
4355500,3460500,Fagus sylvatica
4296500,3177500,Fagus sylvatica
4497500,3398500,Fagus sylvatica
4558500,3500500,Fagus sylvatica
4396500,3367500,Fagus sylvatica
4335500,3120500,Fagus sylvatica
4322500,3076500,Fagus sylvatica
4551500,3484500,Fagus sylvatica
4274500,2935500,Fagus sylvatica
4301500,2823500,Fagus sylvatica
4174500,2906500,Fagus sylvatica
4288500,3189500,Fagus sylvatica
4556500,3502500,Fagus sylvatica
4562500,3438500,Fagus sylvatica
4232500,3206500,Fagus sylvatica
4199500,2870500,Fagus sylvatica
4281500,3017500,Fagus sylvatica
4289500,2993500,Fagus sylvatica
4311500,2821500,Fagus sylvatica
4357500,3038500,Fagus sylvatica
4204500,3135500,Fagus sylvatica
4273500,2829500,Fagus sylvatica
4246500,3033500,Fagus sylvatica
4170500,3028500,Fagus sylvatica
4164500,2767500,Fagus sylvatica
4131500,3039500,Fagus sylvatica
4235500,3110500,Fagus sylvatica
4239500,2810500,Fagus sylvatica
4447500,3447500,Fagus sylvatica
4378500,3345500,Fagus sylvatica
4526500,3341500,Fagus sylvatica
4184500,3066500,Fagus sylvatica
4355500,3450500,Fagus sylvatica
4273500,2801500,Fagus sylvatica
4114500,3022500,Fagus sylvatica
4125500,3046500,Fagus sylvatica
4223500,3150500,Fagus sylvatica
4363500,3454500,Fagus sylvatica
4248500,3225500,Fagus sylvatica
4493500,3452500,Fagus sylvatica
4323500,2854500,Fagus sylvatica
4139500,3227500,Fagus sylvatica
4346500,3462500,Fagus sylvatica
4373500,3390500,Fagus sylvatica
4111500,2940500,Fagus sylvatica
4233500,2848500,Fagus sylvatica
4375500,2876500,Fagus sylvatica
4067500,2943500,Fagus sylvatica
4287500,2809500,Fagus sylvatica
4327500,2710500,Fagus sylvatica
4173500,2820500,Fagus sylvatica
4309500,3419500,Fagus sylvatica
4402500,3061500,Fagus sylvatica
4450500,2922500,Fagus sylvatica
4066500,3063500,Fagus sylvatica
4295500,3137500,Fagus sylvatica
4206500,3042500,Fagus sylvatica
4389500,3163500,Fagus sylvatica
4182500,2802500,Fagus sylvatica
4066500,2955500,Fagus sylvatica
4214500,2780500,Fagus sylvatica
4157500,3019500,Fagus sylvatica
4242500,2907500,Fagus sylvatica
4330500,3096500,Fagus sylvatica
4324500,3090500,Fagus sylvatica
4257000,2966000,Fagus sylvatica
4368500,3438500,Fagus sylvatica
4361500,3400500,Fagus sylvatica
4118500,2950500,Fagus sylvatica
4242500,3045500,Fagus sylvatica
4491500,3396500,Fagus sylvatica
4166500,2773500,Fagus sylvatica
4225500,2966500,Fagus sylvatica
4415500,3408500,Fagus sylvatica
4243500,3161500,Fagus sylvatica
4145500,3023500,Fagus sylvatica
4085500,2974500,Fagus sylvatica
4202500,3046500,Fagus sylvatica
4576500,3393500,Fagus sylvatica
4130500,3204500,Fagus sylvatica
4143500,2963500,Fagus sylvatica
4475500,3457500,Fagus sylvatica
4106500,2999500,Fagus sylvatica
4284500,3237500,Fagus sylvatica
4276500,2799500,Fagus sylvatica
4050500,2994500,Fagus sylvatica
4243500,2837500,Fagus sylvatica
4116500,2992500,Fagus sylvatica
4556500,3498500,Fagus sylvatica
4092500,3098500,Fagus sylvatica
4319500,3454500,Fagus sylvatica
4272500,3209500,Fagus sylvatica
4269500,3437500,Fagus sylvatica
4132500,2911500,Fagus sylvatica
4346500,3048500,Fagus sylvatica
4327500,2850500,Fagus sylvatica
4531500,3401500,Fagus sylvatica
4282500,3525500,Fagus sylvatica
4340500,3464500,Fagus sylvatica
4511500,3172500,Fagus sylvatica
4353500,3162500,Fagus sylvatica
4258500,3041500,Fagus sylvatica
4294500,3029500,Fagus sylvatica
4073500,2981500,Fagus sylvatica
4438500,3426500,Fagus sylvatica
4207500,2860500,Fagus sylvatica
4124500,3096500,Fagus sylvatica
4280500,3177500,Fagus sylvatica
4268500,2795500,Fagus sylvatica
4400500,2849500,Fagus sylvatica
4409000,2965500,Fagus sylvatica
4223500,3296500,Fagus sylvatica
4275500,3149500,Fagus sylvatica
4289500,2843500,Fagus sylvatica
4443500,3394500,Fagus sylvatica
4164500,3029500,Fagus sylvatica
4236500,2920500,Fagus sylvatica
4238500,3346500,Fagus sylvatica
4162500,2941500,Fagus sylvatica
4194500,3054500,Fagus sylvatica
4108500,2985500,Fagus sylvatica
4183500,2828500,Fagus sylvatica
4170500,2743500,Fagus sylvatica
4322500,3036500,Fagus sylvatica
4514500,3426500,Fagus sylvatica
4341500,3106500,Fagus sylvatica
4168500,2801500,Fagus sylvatica
4160500,2920000,Fagus sylvatica
4271500,2843500,Fagus sylvatica
4285500,3021500,Fagus sylvatica
4301500,2985500,Fagus sylvatica
4395500,2877500,Fagus sylvatica
4291500,3157500,Fagus sylvatica
4221500,2816500,Fagus sylvatica
4378500,3371500,Fagus sylvatica
4303500,3145500,Fagus sylvatica
4250500,2927500,Fagus sylvatica
4127500,3050500,Fagus sylvatica
4424500,3428500,Fagus sylvatica
4290500,3525500,Fagus sylvatica
4142500,2757500,Fagus sylvatica
4258500,2929500,Fagus sylvatica
4500500,3354500,Fagus sylvatica
4202500,2918500,Fagus sylvatica
4380500,2849500,Fagus sylvatica
4173500,3012500,Fagus sylvatica
4158500,2749500,Fagus sylvatica
4522500,3341500,Fagus sylvatica
4226500,2924500,Fagus sylvatica
4172500,3206500,Fagus sylvatica
4389500,3163000,Fagus sylvatica
4467500,3397500,Fagus sylvatica
4113500,3117500,Fagus sylvatica
4532500,3371500,Fagus sylvatica
4181500,2834500,Fagus sylvatica
4099500,2929500,Fagus sylvatica
4156500,2747500,Fagus sylvatica
4278500,3089500,Fagus sylvatica
4198500,3026500,Fagus sylvatica
4260500,3173500,Fagus sylvatica
4335500,3100500,Fagus sylvatica
4524500,3269500,Fagus sylvatica
4175500,2814500,Fagus sylvatica
4151500,3171500,Fagus sylvatica
4118500,3144500,Fagus sylvatica
4093500,2967500,Fagus sylvatica
4407500,3377500,Fagus sylvatica
4178500,3042500,Fagus sylvatica
4307500,3121500,Fagus sylvatica
4294500,2931500,Fagus sylvatica
4365500,3392500,Fagus sylvatica
4264500,3209500,Fagus sylvatica
4189500,3290500,Fagus sylvatica
4344500,3046500,Fagus sylvatica
4530500,3369500,Fagus sylvatica
4229500,2970500,Fagus sylvatica
4522500,2764500,Fagus sylvatica
4230500,2902500,Fagus sylvatica
4254500,2733500,Fagus sylvatica
4251500,3121500,Fagus sylvatica
