X,Y,SPECIES NAME
4536500,3059500,Acer pseudoplatanus
4206500,2760500,Acer pseudoplatanus
4317500,3300500,Acer pseudoplatanus
4159500,3159500,Acer pseudoplatanus
4165500,3019500,Acer pseudoplatanus
4365500,3462500,Acer pseudoplatanus
4486500,2775500,Acer pseudoplatanus
4418500,3198500,Acer pseudoplatanus
4269500,3425500,Acer pseudoplatanus
4412500,3426500,Acer pseudoplatanus
4202500,3030500,Acer pseudoplatanus
4073500,3123500,Acer pseudoplatanus
4188500,3052500,Acer pseudoplatanus
4364500,2856500,Acer pseudoplatanus
4508500,3074500,Acer pseudoplatanus
4155500,3143500,Acer pseudoplatanus
4131500,3001500,Acer pseudoplatanus
4446500,3445500,Acer pseudoplatanus
4390500,3193500,Acer pseudoplatanus
4318500,3040500,Acer pseudoplatanus
4204500,2930500,Acer pseudoplatanus
4414500,3222500,Acer pseudoplatanus
4304500,3221500,Acer pseudoplatanus
4092500,3110500,Acer pseudoplatanus
4365500,3378500,Betula pendula
4430500,3434500,Betula pendula
4227500,3312500,Betula pendula
4464500,3053500,Betula pendula
4233500,3290500,Betula pendula
4468500,3283500,Betula pendula
4203500,3312500,Betula pendula
4349500,3256500,Betula pendula
4281500,3301500,Betula pendula
4234500,3382500,Betula pendula
4248500,3355500,Betula pendula
4353500,3280500,Betula pendula
4313500,3434500,Betula pendula
4367500,3308500,Betula pendula
4501500,3482500,Betula pendula
4619500,3230500,Betula pendula
4321500,3424500,Betula pendula
4311500,3403500,Betula pendula
4229500,3290500,Betula pendula
4237500,3270500,Betula pendula
4449500,3389500,Betula pendula
4286500,3325500,Betula pendula
4617500,3201500,Betula pendula
4381500,3385500,Betula pendula
4545500,3399500,Betula pendula
4520500,3355500,Betula pendula
4279500,3429500,Betula pendula
4252500,3383500,Betula pendula
4307500,3405500,Betula pendula
4159500,3269500,Betula pendula
4258500,3341500,Betula pendula
4527500,3323000,Betula pendula
4251500,3279500,Betula pendula
4490500,3358500,Betula pendula
4309500,3401500,Betula pendula
4309500,3411500,Betula pendula
4095500,3078500,Betula pendula
4523500,3379500,Betula pendula
4578500,3391500,Betula pendula
4267500,3393500,Betula pendula
4483500,3466500,Betula pendula
4249500,3281500,Betula pendula
4526500,3053500,Betula pendula
4195500,3264500,Betula pendula
4249500,3273500,Betula pendula
4156500,3235500,Betula pendula
4591500,3430500,Betula pendula
4524500,3363500,Betula pendula
4299500,3263500,Betula pendula
4484500,3272500,Betula pendula
4256500,3347500,Betula pendula
4266500,3345500,Betula pendula
4400500,3153500,Betula pendula
4563500,3424500,Betula pendula
4209500,3290500,Betula pendula
4433500,3262500,Betula pendula
4311500,3409500,Betula pendula
4389500,3257500,Betula pendula
4239500,3264500,Betula pendula
4284500,3463500,Betula pendula
4515500,3176500,Betula pendula
4257500,3399500,Betula pendula
4265500,3277500,Betula pendula
4590500,3075500,Betula pendula
4230500,3370500,Betula pendula
4440500,3064500,Betula pendula
4158500,2919500,Betula pendula
4136500,3328500,Betula pendula
4252500,3387500,Betula pendula
4275500,3445500,Betula pendula
4199500,3304500,Betula pendula
4129500,3044500,Carpinus betulus
4333500,2844500,Carpinus betulus
4483500,3398500,Carpinus betulus
4242500,3049500,Carpinus betulus
4280500,3181500,Carpinus betulus
4369500,3240500,Carpinus betulus
4076500,3099500,Carpinus betulus
4224500,2732500,Carpinus betulus
4360500,3440500,Carpinus betulus
4350500,3028500,Fagus sylvatica
4295500,2825500,Fagus sylvatica
4304500,2753500,Fagus sylvatica
4405500,3163000,Fagus sylvatica
4293500,3429500,Fagus sylvatica
4189500,2998500,Fagus sylvatica
4314500,2900500,Fagus sylvatica
4163500,3019500,Fagus sylvatica
4206500,3046500,Fagus sylvatica
4193500,2846500,Fagus sylvatica
4424000,3014500,Fagus sylvatica
4294500,2785500,Fagus sylvatica
4228500,2898500,Fagus sylvatica
4453500,3407500,Fagus sylvatica
4252500,3217500,Fagus sylvatica
4505500,3462500,Fagus sylvatica
