Species,X,Y
Acer pseudoplatanus,4303439.28476681,3214156.996746126
Acer pseudoplatanus,4323388.69803018,3161788.8715180107
Acer pseudoplatanus,4261828.354100408,3226924.8121521096
Acer pseudoplatanus,4335464.034321238,3222459.8134364244
Acer pseudoplatanus,4293963.60953693,3229582.3842578316
Acer pseudoplatanus,4335531.788818664,3203983.283379111
Acer pseudoplatanus,4313940.833349704,3225067.566618933
Acer pseudoplatanus,4355011.230427205,3329398.12542326
Acer pseudoplatanus,4309665.244331117,3362382.5120111485
Acer pseudoplatanus,4380250.369640292,3241388.3729196717
Acer pseudoplatanus,4346477.889496788,3219013.573641752
Acer pseudoplatanus,4359575.439347423,3205894.5106548043
Acer pseudoplatanus,4309848.269018243,3164410.3526944015
Acer pseudoplatanus,4314199.214686384,3225420.0230280645
Acer pseudoplatanus,4351920.238501783,3229030.0830226927
Acer pseudoplatanus,4277065.6716026785,3211327.609449632
Acer pseudoplatanus,4296800.132200892,3205098.7214915757
Acer pseudoplatanus,4327130.251577964,3195048.9905821914
Acer pseudoplatanus,4276767.678713204,3321605.919192445
Acer pseudoplatanus,4262311.69390669,3233850.7410958307
Acer pseudoplatanus,4353560.283602036,3194728.0724297552
Acer pseudoplatanus,4268014.9856016915,3259387.203263921
Acer pseudoplatanus,4375571.131024184,3348262.391477449
Acer pseudoplatanus,4337836.965277738,3173122.5538842133
Acer pseudoplatanus,4278170.338797653,3197111.1173285386
Acer pseudoplatanus,4203445.666138766,3320177.532163662
Acer pseudoplatanus,4271341.584062853,3233284.6060828962
Acer pseudoplatanus,4323154.239695627,3191718.324706269
Acer pseudoplatanus,4321643.01010467,3149516.2484182413
Acer pseudoplatanus,4194193.744522656,3251831.899906636
Acer pseudoplatanus,4318452.415725705,3166456.593750237
Acer pseudoplatanus,4279824.288961433,3202325.742581723
Acer pseudoplatanus,4301021.387004969,3212457.6013733787
Acer pseudoplatanus,4291332.681420023,3230632.9913674
Acer pseudoplatanus,4335852.550648564,3190226.8808636847
Acer pseudoplatanus,4350338.294066015,3209119.3173442665
Acer pseudoplatanus,4334570.195716371,3214457.2089959993
Acer pseudoplatanus,4327868.72041745,3167627.721338048
Acer pseudoplatanus,4304050.415838165,3168274.3358001024
Acer pseudoplatanus,4343492.280319576,3222912.5392086115
Acer pseudoplatanus,4349855.662050645,3332820.808344799
Acer pseudoplatanus,4333802.976000173,3203859.4331385633
Acer pseudoplatanus,4204993.01593396,3244739.8870481728
Acer pseudoplatanus,4296814.415351124,3189481.8390385034
Acer pseudoplatanus,4322465.043092163,3223429.283016873
Acer pseudoplatanus,4335398.383873376,3192781.4458224718
Acer pseudoplatanus,4322617.1435942175,3223498.8238192284
Acer pseudoplatanus,4284298.116838469,3184655.199426488
Acer pseudoplatanus,4346442.702727276,3219123.0805807156
Acer pseudoplatanus,4375219.787161974,3231030.2977038557
