Species,X,Y
Betula spec.,4357564.471830487,3352430.7992253075
Betula spec.,4299861.802154781,3207471.3487165803
Betula spec.,4298260.184593965,3205842.6315837735
Betula spec.,4367853.315133766,3260813.814288781
Betula spec.,4256174.702741127,3379068.5466715833
Betula spec.,4338731.720824987,3202937.360762509
Betula spec.,4366266.406458212,3261412.102831541
Betula spec.,4348147.596403342,3212534.764067853
Betula spec.,4299514.7851208495,3312666.5230509583
Betula spec.,4331547.531252717,3173377.459956258
Betula spec.,4288333.746669927,3185770.9468053407
Betula spec.,4335878.57444675,3214008.6236229353
Betula spec.,4300256.871556584,3265626.789223076
Betula spec.,4264618.909877231,3224790.5084185563
Betula spec.,4263607.010263143,3256308.8918147325
Betula spec.,4298966.8888904825,3208722.0144720213
Betula spec.,4149659.802125279,3380854.546671682
Betula spec.,4404087.807535675,3326968.2890595365
Betula spec.,4228457.026427239,3416412.578096225
Betula spec.,4195472.806693476,3348382.274459283
Betula spec.,4354179.081302094,3254323.1054686676
Betula spec.,4284622.0335499635,3181282.1522578783
Betula spec.,4284812.374223351,3175099.021361685
Betula spec.,4227722.493493959,3306434.0574440286
Betula spec.,4244973.322643194,3294676.4028970767
Betula spec.,4355247.410670856,3169337.957655342
Betula spec.,4352322.825244917,3357189.427291584
Betula spec.,4207089.370529088,3325871.736880473
Betula spec.,4311122.711487517,3334970.334505576
Betula spec.,4320059.874996738,3337455.545064937
Betula spec.,4209171.500553124,3343481.2240947667
Betula spec.,4254603.402603446,3288732.324860868
Betula spec.,4342344.071461392,3197183.5067442353
Betula spec.,4299546.2809761865,3206298.4020787324
Betula spec.,4228437.027222144,3310421.9478077493
Betula spec.,4209700.087986796,3343045.6040628077
Betula spec.,4262549.201904125,3256324.325908297
Betula spec.,4238515.950248316,3268594.704768455
Betula spec.,4214879.039453585,3335410.5634152773
Betula spec.,4196596.642578021,3314514.609869218
Betula spec.,4167272.7328774766,3386038.1843037405
Betula spec.,4236811.289219207,3352743.585961729
Betula spec.,4366749.122352503,3171677.153443045
Betula spec.,4274009.921485588,3353874.1576285125
Betula spec.,4341160.259393002,3196830.419806581
Betula spec.,4196171.967604342,3335346.8165663364
Betula spec.,4195330.63399818,3313560.182894541
Betula spec.,4302263.133712897,3199874.4646129603
Betula spec.,4195933.69328641,3315825.485819886
Betula spec.,4326714.02153071,3268945.7244960605
