Species,X,Y
Carpinus betulus,4268500,2901500
Carpinus betulus,4219000,2812000
Carpinus betulus,4278500,3097500
Carpinus betulus,4377500,3018500
Carpinus betulus,4194500,3050500
Carpinus betulus,4182500,3074500
Carpinus betulus,4230500,2738500
Carpinus betulus,4476500,3431500
Carpinus betulus,4314500,3084500
Carpinus betulus,4317500,2848500
Carpinus betulus,4212500,3214500
Carpinus betulus,4135500,2963500
Carpinus betulus,4145500,3007500
Carpinus betulus,4343500,3160500
Carpinus betulus,4108500,3021500
Carpinus betulus,4547500,3173500
Carpinus betulus,4646500,3135500
Carpinus betulus,4101000,3170500
Carpinus betulus,4164500,3091500
Carpinus betulus,4184500,2884500
Carpinus betulus,4288500,2733500
Carpinus betulus,4371500,2876500
Carpinus betulus,4121500,3046500
Carpinus betulus,4079500,3010500
Carpinus betulus,4082500,2988500
Carpinus betulus,4162500,2945500
Carpinus betulus,4170500,2916500
Carpinus betulus,4193500,3014500
Carpinus betulus,4118500,2998500
Carpinus betulus,4205500,2856500
Carpinus betulus,4125500,3018500
Carpinus betulus,4177500,2822500
Carpinus betulus,4073500,2942500
Carpinus betulus,4323500,3416500
Carpinus betulus,4375500,2938500
Carpinus betulus,4601500,3088500
Carpinus betulus,4336500,3212500
Carpinus betulus,4168500,2948500
Carpinus betulus,4276500,2937500
Carpinus betulus,4099500,3149500
Carpinus betulus,4485500,3179000
Carpinus betulus,4331500,3156500
Carpinus betulus,4175500,3024500
Carpinus betulus,4149500,3011500
Carpinus betulus,4180500,3026500
Carpinus betulus,4432500,2928500
Carpinus betulus,4226500,2930500
Carpinus betulus,4218500,3074500
Carpinus betulus,4257500,2823500
Carpinus betulus,4282500,3029500
