Species,X,Y
Fagus sylvatica,4277862.131,3196515.293
Fagus sylvatica,4236613.966,3368055.672
Fagus sylvatica,4324431.084,3157574.49
Fagus sylvatica,4288404.822,3239432.566
Fagus sylvatica,4190506.714,3229362.69
Fagus sylvatica,4366384.948,3175093.253
Fagus sylvatica,4273877.654,3231880.512
Fagus sylvatica,4292446.409,3225755.094
Fagus sylvatica,4339424.721,3198551.251
Fagus sylvatica,4300114.192,3147452.185
Fagus sylvatica,4278366.196,3196808.4
Fagus sylvatica,4346076.599,3332480.454
Fagus sylvatica,4321669.476,3149436.571
Fagus sylvatica,4185930.424,3231113.833
Fagus sylvatica,4295097.227,3157640.425
Fagus sylvatica,4272167.338,3379655.884
Fagus sylvatica,4227233.689,3314303.611
Fagus sylvatica,4287479.993,3234086.307
Fagus sylvatica,4281374.875,3182175.869
Fagus sylvatica,4294659.311,3156454.044
Fagus sylvatica,4340800.135,3169017.84
Fagus sylvatica,4282794.593,3182508.672
Fagus sylvatica,4342958.377,3195471.256
Fagus sylvatica,4338526.75,3201636.213
Fagus sylvatica,4293608.985,3228901.519
Fagus sylvatica,4321034.226,3165121.201
Fagus sylvatica,4217948.971,3329137.359
Fagus sylvatica,4339388.857,3198911.396
Fagus sylvatica,4275214.687,3232422.526
Fagus sylvatica,4301841.438,3142174.027
Fagus sylvatica,4242364.178,3313223.966
Fagus sylvatica,4319807.042,3163137.924
Fagus sylvatica,4344807.7,3194963.545
Fagus sylvatica,4297847.789,3203693.498
Fagus sylvatica,4259339.049,3352785.576
Fagus sylvatica,4289110.702,3221317.051
Fagus sylvatica,4345586.706,3219884.66
Fagus sylvatica,4343735.339,3223410.175
Fagus sylvatica,4263692.86,3227912.985
Fagus sylvatica,4270458.32,3232620.426
Fagus sylvatica,4344797.949,3197671.334
Fagus sylvatica,4291862.019,3189035.361
Fagus sylvatica,4323631.043,3172185.882
Fagus sylvatica,4291092.726,3227736.079
Fagus sylvatica,4302092.653,3175740.513
Fagus sylvatica,4290289.822,3189302.477
Fagus sylvatica,4325766.813,3361366.652
Fagus sylvatica,4318025.588,3167644.151
Fagus sylvatica,4353181.799,3180624.795
Fagus sylvatica,4326286.863,3161649.22
