Species,X,Y
Fraxinus excelsior,4285780.18104439,3200997.903756874
Fraxinus excelsior,4321628.022113852,3156495.3006486287
Fraxinus excelsior,4288889.092318669,3220026.6306599793
Fraxinus excelsior,4380801.194821709,3241023.518861384
Fraxinus excelsior,4278432.126047137,3253521.5672396114
Fraxinus excelsior,4387128.797641519,3311449.611254056
Fraxinus excelsior,4292829.626078682,3230885.8757028542
Fraxinus excelsior,4346249.417302179,3173250.3587658093
Fraxinus excelsior,4300254.65774354,3190421.625148571
Fraxinus excelsior,4293276.173565733,3227586.0603893762
Fraxinus excelsior,4351299.541537909,3206306.136947016
Fraxinus excelsior,4289608.876997323,3197623.15919926
Fraxinus excelsior,4336202.960814185,3206336.322596912
Fraxinus excelsior,4372505.894960311,3241751.3273047693
Fraxinus excelsior,4283129.434093436,3197963.4887543484
Fraxinus excelsior,4194616.804454475,3222826.2425789917
Fraxinus excelsior,4313592.988300927,3226016.478741913
Fraxinus excelsior,4278441.4636980025,3195007.1999615496
Fraxinus excelsior,4244817.133407962,3392649.3034845376
Fraxinus excelsior,4299881.942489842,3213289.458136286
Fraxinus excelsior,4282678.555795072,3204685.7339608073
Fraxinus excelsior,4341732.3180688685,3266411.748474019
Fraxinus excelsior,4343655.849047957,3251853.2106421837
Fraxinus excelsior,4378036.62008213,3250391.722294028
Fraxinus excelsior,4309779.4816907365,3200498.9811591865
Fraxinus excelsior,4262900.955513354,3350525.73890704
Fraxinus excelsior,4293610.298757915,3190474.2789563406
Fraxinus excelsior,4342750.556739925,3206756.458003092
Fraxinus excelsior,4181760.732698284,3381555.3288856316
Fraxinus excelsior,4288688.96914124,3220024.6973796
Fraxinus excelsior,4317559.651197495,3218681.1873724437
Fraxinus excelsior,4352952.672343667,3188736.5941268033
Fraxinus excelsior,4265947.415391392,3225303.8165506786
Fraxinus excelsior,4351283.828470565,3205949.7811477133
Fraxinus excelsior,4331552.812738563,3262858.733464777
Fraxinus excelsior,4300600.629683211,3231920.089075019
Fraxinus excelsior,4287292.106844411,3238755.2532425006
Fraxinus excelsior,4224949.913850313,3304540.5282392516
Fraxinus excelsior,4277697.642338406,3196738.210013394
Fraxinus excelsior,4287668.055342283,3236545.2572723557
Fraxinus excelsior,4383410.511790576,3228992.2101583024
Fraxinus excelsior,4289310.07986298,3197343.222469726
Fraxinus excelsior,4342332.685685724,3266391.1959794504
Fraxinus excelsior,4342269.976411115,3266811.3808686193
Fraxinus excelsior,4281095.598061739,3206178.5769788455
Fraxinus excelsior,4300512.826177432,3243684.2936552996
Fraxinus excelsior,4381765.57756478,3260050.598917604
Fraxinus excelsior,4349469.004344025,3168823.64427547
Fraxinus excelsior,4323352.42185622,3161267.4345725034
Fraxinus excelsior,4287736.396534666,3256544.3724358683
