Species,X,Y
Picea abies,4298011.53,3153989.602
Picea abies,4353336.787,3174329.62
Picea abies,4289435.487,3188248.789
Picea abies,4363539.809,3176964.638
Picea abies,4275532.771,3233096.839
Picea abies,4299192.858,3182302.314
Picea abies,4349929.376,3183994.138
Picea abies,4351851.521,3193045.189
Picea abies,4344229.042,3182728.663
Picea abies,4367472.906,3348270.901
Picea abies,4350219.163,3185200.409
Picea abies,4386876.05,3340677.447
Picea abies,4362354.433,3181141.599
Picea abies,4300482.592,3179126.47
Picea abies,4276684.974,3212732.971
Picea abies,4300284.908,3206962.841
Picea abies,4360521.987,3171543.717
Picea abies,4284561.304,3175161.744
Picea abies,4339373.122,3188620.788
Picea abies,4291080.05,3182791.193
Picea abies,4335481.159,3212223.99
Picea abies,4375527.263,3230722.696
Picea abies,4375079.31,3335090.105
Picea abies,4228446.711,3310688.121
Picea abies,4340943.299,3180731.459
Picea abies,4391478.285,3240433.263
Picea abies,4342463.589,3182187.755
Picea abies,4181962.6,3313039.34
Picea abies,4294442.728,3224089.693
Picea abies,4342013.143,3177587.913
Picea abies,4350038.263,3189671.267
Picea abies,4353878.434,3178803.762
Picea abies,4342318.269,3186810.663
Picea abies,4288906.755,3228766.25
Picea abies,4186764.013,3233489.184
Picea abies,4286268.426,3240503.49
Picea abies,4344556.948,3330280.814
Picea abies,4304501.835,3174184.652
Picea abies,4362010.584,3168539.922
Picea abies,4295625.915,3181149.224
Picea abies,4310712.772,3337168.495
Picea abies,4289993.964,3185786.537
Picea abies,4356863.745,3175817.376
Picea abies,4363020.032,3166888.024
Picea abies,4342891.91,3332690.692
Picea abies,4343099.101,3186123.806
Picea abies,4338643.426,3190368.804
Picea abies,4340240.971,3194106.279
Picea abies,4300456.276,3166729.837
Picea abies,4368136.884,3172243.412
