Species,X,Y
Pinus sylvestris,4337348.546466714,3353794.9656037474
Pinus sylvestris,4267512.854409324,3265563.8841130054
Pinus sylvestris,4258374.762808958,3284564.490857731
Pinus sylvestris,4384456.058394313,3340815.2808177727
Pinus sylvestris,4335142.088702035,3315697.6733325347
Pinus sylvestris,4274895.7597801285,3273180.8062782777
Pinus sylvestris,4317768.4443932725,3278664.801392612
Pinus sylvestris,4296979.720270726,3267276.8403013707
Pinus sylvestris,4376006.5242033135,3337672.1591794705
Pinus sylvestris,4381362.721902704,3326177.781509909
Pinus sylvestris,4345901.836392204,3343275.54143157
Pinus sylvestris,4403827.820613754,3330958.818565508
Pinus sylvestris,4336025.289737123,3330714.9410362993
Pinus sylvestris,4336407.377472691,3315110.272120297
Pinus sylvestris,4179942.7775007687,3316589.224881975
Pinus sylvestris,4379563.751340723,3332890.5872056186
Pinus sylvestris,4249661.0057346765,3276410.4713993827
Pinus sylvestris,4315114.40508462,3280837.52693578
Pinus sylvestris,4225628.0185158765,3317543.5121280835
Pinus sylvestris,4368365.986459692,3347687.141850191
Pinus sylvestris,4278934.356560842,3291863.2780208886
Pinus sylvestris,4220824.6361913765,3281206.640748937
Pinus sylvestris,4383062.914665769,3340451.459808707
Pinus sylvestris,4339231.899737125,3331169.9914485374
Pinus sylvestris,4359050.009007329,3332391.5623942767
Pinus sylvestris,4273410.266386019,3279783.69877691
Pinus sylvestris,4315189.322232659,3342605.925579205
Pinus sylvestris,4296464.144405661,3149928.6874354105
Pinus sylvestris,4336266.010343692,3319312.0844418276
Pinus sylvestris,4354191.8720995085,3349658.238790529
Pinus sylvestris,4370832.70161047,3352522.769654489
Pinus sylvestris,4313955.862079475,3340223.2000978827
Pinus sylvestris,4374960.931838538,3333167.165169522
Pinus sylvestris,4336651.416420274,3354004.7468616567
Pinus sylvestris,4198942.827528621,3326008.703463667
Pinus sylvestris,4263237.610719826,3353021.0138151064
Pinus sylvestris,4179912.88512819,3314300.291223135
Pinus sylvestris,4180419.2036737106,3315558.279758858
Pinus sylvestris,4312653.153898798,3340041.3842947865
Pinus sylvestris,4366808.13696514,3350779.9629682777
Pinus sylvestris,4385694.435688964,3326506.0354743786
Pinus sylvestris,4251014.196740705,3367422.0169269755
Pinus sylvestris,4367228.1640095655,3337394.7723688367
Pinus sylvestris,4268251.9453389,3277749.4784621205
Pinus sylvestris,4172924.414097901,3269909.3768219845
Pinus sylvestris,4334055.79334373,3314152.946430055
Pinus sylvestris,4222764.996807525,3276879.6801645337
Pinus sylvestris,4312728.00186307,3338240.371353177
Pinus sylvestris,4310989.013948079,3335464.664283862
Pinus sylvestris,4312855.935062052,3340238.5509549575
