Species,X,Y
Quercus petraea,4241187.632245073,3371019.606703261
Quercus petraea,4303680.466950668,3182987.5753361676
Quercus petraea,4302030.928068907,3207544.8437316944
Quercus petraea,4265368.122642041,3343318.6923814127
Quercus petraea,4297893.644580216,3159315.8349403916
Quercus petraea,4287167.896582154,3172705.9021190195
Quercus petraea,4206602.102183259,3310499.2334740185
Quercus petraea,4285321.334759385,3175647.005003087
Quercus petraea,4379999.863951921,3335738.260990128
Quercus petraea,4321201.387271035,3148249.4954202306
Quercus petraea,4278433.196064994,3315620.2378512844
Quercus petraea,4367209.304262922,3224432.066820285
Quercus petraea,4382208.674634353,3325954.754770305
Quercus petraea,4383551.635300035,3338916.7989275516
Quercus petraea,4317556.203892271,3218329.033312559
Quercus petraea,4278590.513999325,3315287.109777328
Quercus petraea,4284968.376229573,3176566.239621887
Quercus petraea,4275286.333310601,3274132.3889892385
Quercus petraea,4304229.997128879,3180808.626489668
Quercus petraea,4365819.629764271,3337113.5201088414
Quercus petraea,4276469.5196553655,3320931.8871478233
Quercus petraea,4296028.900050821,3222678.6068392196
Quercus petraea,4291549.6083428655,3176845.0523370337
Quercus petraea,4258491.825642166,3301338.843582137
Quercus petraea,4249769.690923214,3385021.0158167197
Quercus petraea,4377385.640842362,3334397.767735509
Quercus petraea,4325969.151821119,3166004.671261467
Quercus petraea,4375702.842741226,3336156.2600984955
Quercus petraea,4354765.063441356,3329360.7313253386
Quercus petraea,4263446.390616487,3225524.3258068454
Quercus petraea,4316754.631472569,3341931.123718179
Quercus petraea,4235530.263489662,3291991.7551786755
Quercus petraea,4278990.01398416,3207347.1801082795
Quercus petraea,4232365.267186479,3305198.0586352893
Quercus petraea,4297231.949661041,3156142.947324215
Quercus petraea,4377875.921418076,3332553.355827786
Quercus petraea,4282610.332971391,3179429.903152576
Quercus petraea,4226608.732666394,3313419.5832825964
Quercus petraea,4267746.374147333,3232460.6517684786
Quercus petraea,4335590.4384205565,3212746.4412206193
Quercus petraea,4283114.85612011,3173055.4153307453
Quercus petraea,4297396.294584951,3136300.355132803
Quercus petraea,4285774.216610329,3176029.1198295266
Quercus petraea,4256181.820777658,3234416.8566673216
Quercus petraea,4304814.344636075,3169366.725496015
Quercus petraea,4260894.525647798,3228051.455363656
Quercus petraea,4385263.62337727,3340271.482316999
Quercus petraea,4300032.288976658,3207643.7965050745
Quercus petraea,4291649.603056583,3176850.2248055656
Quercus petraea,4261320.000853235,3227684.715094184
