Species,X,Y
Quercus robur,4278944.051136725,3211304.7033112654
Quercus robur,4253506.685745587,3377867.9822582975
Quercus robur,4392042.390716689,3239882.8823985728
Quercus robur,4312920.700284503,3254268.013012744
Quercus robur,4379409.9721899815,3246459.2818147084
Quercus robur,4181888.2636076785,3347110.106213767
Quercus robur,4283702.362886848,3179535.056434012
Quercus robur,4280135.517412943,3255430.9365814836
Quercus robur,4328011.509605478,3268640.232658263
Quercus robur,4161563.567430113,3357339.105711863
Quercus robur,4286978.013026294,3241193.7669415595
Quercus robur,4195357.106904702,3327057.6109566195
Quercus robur,4203634.488902918,3320413.746417669
Quercus robur,4339741.1038335,3331096.8566317167
Quercus robur,4367675.7727064025,3356922.651179411
Quercus robur,4195590.045438623,3336654.783247853
Quercus robur,4314918.502216604,3275864.1083109034
Quercus robur,4379317.126221859,3246209.9550919523
Quercus robur,4272756.757243314,3323976.62897891
Quercus robur,4366940.906050495,3357349.9153699237
Quercus robur,4274140.688031322,3274307.3374039624
Quercus robur,4213972.859126482,3325376.032815181
Quercus robur,4335634.719927725,3316580.8618061855
Quercus robur,4211128.617944773,3321200.256069602
Quercus robur,4283473.66968323,3179468.776540118
Quercus robur,4369500.502637209,3248163.365545366
Quercus robur,4290824.486916238,3253185.141530789
Quercus robur,4272516.837343507,3323928.428094008
Quercus robur,4295474.63106589,3181523.779197646
Quercus robur,4285665.2782417415,3175824.4897699086
Quercus robur,4194652.547425937,3221165.120508542
Quercus robur,4219267.9732819,3330810.668695144
Quercus robur,4272349.899141594,3301823.2833702983
Quercus robur,4188971.943459086,3347474.4471875727
Quercus robur,4290062.584605239,3220711.1313598235
Quercus robur,4128367.3365569348,3290942.1706916383
Quercus robur,4406533.257137393,3329819.426656313
Quercus robur,4187806.425593298,3367256.3302545
Quercus robur,4337635.81189782,3320041.780806512
Quercus robur,4415345.694663081,3314268.470007164
Quercus robur,4362953.268936458,3248147.0696322327
Quercus robur,4293486.944518148,3312653.104509356
Quercus robur,4375101.083991668,3244350.6941976645
Quercus robur,4334235.399593007,3328816.8130472843
Quercus robur,4299226.467448022,3210888.4925604984
Quercus robur,4280521.800286407,3254675.3946029213
Quercus robur,4284632.370333992,3173540.5292889085
Quercus robur,4343839.686303812,3331805.1659678323
Quercus robur,4295440.564896969,3266455.687237177
Quercus robur,4254199.588279216,3306812.1438085167
