Species,X,Y
Sorbus aucuparia,4581500,3117500
Sorbus aucuparia,4524500,3149500
Sorbus aucuparia,4240500,3202500
Sorbus aucuparia,4249500,2989500
Sorbus aucuparia,4581500,3135500
Sorbus aucuparia,4170500,2946500
Sorbus aucuparia,4436500,3366500
Sorbus aucuparia,4506500,3484500
Sorbus aucuparia,4592500,3388500
Sorbus aucuparia,4603500,3112500
Sorbus aucuparia,4253000,3198500
Sorbus aucuparia,4509500,3162500
Sorbus aucuparia,4359500,3176500
Sorbus aucuparia,4533500,3047500
Sorbus aucuparia,4544500,3071500
Sorbus aucuparia,4563500,3398500
Sorbus aucuparia,4476500,3371500
Sorbus aucuparia,4326500,2756500
Sorbus aucuparia,4136500,3249000
Sorbus aucuparia,4450500,3355500
Sorbus aucuparia,4081500,2906500
Sorbus aucuparia,4166500,3093500
Sorbus aucuparia,4596500,3104500
Sorbus aucuparia,4481500,3041500
Sorbus aucuparia,4318000,3325500
Sorbus aucuparia,4178500,2752500
Sorbus aucuparia,4232500,2762500
Sorbus aucuparia,4628500,3098500
Sorbus aucuparia,4431500,3030500
Sorbus aucuparia,4665500,3141500
Sorbus aucuparia,4186000,2748500
Sorbus aucuparia,4318500,2878500
Sorbus aucuparia,4184500,2768500
Sorbus aucuparia,4268500,2781500
Sorbus aucuparia,4231500,3312500
Sorbus aucuparia,4409500,3031500
Sorbus aucuparia,4197500,2820500
Sorbus aucuparia,4169500,3278500
Sorbus aucuparia,4324500,3078500
Sorbus aucuparia,4085500,2902500
Sorbus aucuparia,4178500,2750500
Sorbus aucuparia,4478500,3351500
Sorbus aucuparia,4174500,3062500
Sorbus aucuparia,4121500,2974500
Sorbus aucuparia,4180500,2758500
Sorbus aucuparia,4223500,3276500
Sorbus aucuparia,4310500,3353500
Sorbus aucuparia,4263500,3275500
Sorbus aucuparia,4140500,3289500
Sorbus aucuparia,4313500,2817500
