SPECIES NAME,X,Y
Acer pseudoplatanus,4303439.285,3214156.997
Acer pseudoplatanus,4323388.698,3161788.872
Acer pseudoplatanus,4261828.354,3226924.812
Acer pseudoplatanus,4335464.034,3222459.813
Acer pseudoplatanus,4293963.61,3229582.384
Acer pseudoplatanus,4335531.789,3203983.283
Acer pseudoplatanus,4313940.833,3225067.567
Acer pseudoplatanus,4355011.23,3329398.125
Acer pseudoplatanus,4309665.244,3362382.512
Acer pseudoplatanus,4380250.37,3241388.373
Acer pseudoplatanus,4346477.889,3219013.574
Acer pseudoplatanus,4359575.439,3205894.511
Acer pseudoplatanus,4309848.269,3164410.353
Acer pseudoplatanus,4314199.215,3225420.023
Acer pseudoplatanus,4351920.239,3229030.083
Acer pseudoplatanus,4277065.672,3211327.609
Acer pseudoplatanus,4296800.132,3205098.721
Acer pseudoplatanus,4327130.252,3195048.991
Acer pseudoplatanus,4276767.679,3321605.919
Acer pseudoplatanus,4262311.694,3233850.741
Acer pseudoplatanus,4353560.284,3194728.072
Acer pseudoplatanus,4268014.986,3259387.203
Acer pseudoplatanus,4375571.131,3348262.391
Acer pseudoplatanus,4337836.965,3173122.554
Acer pseudoplatanus,4278170.339,3197111.117
Acer pseudoplatanus,4203445.666,3320177.532
Acer pseudoplatanus,4271341.584,3233284.606
Acer pseudoplatanus,4323154.24,3191718.325
Acer pseudoplatanus,4321643.01,3149516.248
Acer pseudoplatanus,4194193.745,3251831.9
Acer pseudoplatanus,4318452.416,3166456.594
Acer pseudoplatanus,4279824.289,3202325.743
Acer pseudoplatanus,4301021.387,3212457.601
Acer pseudoplatanus,4291332.681,3230632.991
Acer pseudoplatanus,4335852.551,3190226.881
Acer pseudoplatanus,4350338.294,3209119.317
Acer pseudoplatanus,4334570.196,3214457.209
Acer pseudoplatanus,4327868.72,3167627.721
Acer pseudoplatanus,4304050.416,3168274.336
Acer pseudoplatanus,4343492.28,3222912.539
Acer pseudoplatanus,4349855.662,3332820.808
Acer pseudoplatanus,4333802.976,3203859.433
Acer pseudoplatanus,4204993.016,3244739.887
Acer pseudoplatanus,4296814.415,3189481.839
Acer pseudoplatanus,4322465.043,3223429.283
Acer pseudoplatanus,4335398.384,3192781.446
Acer pseudoplatanus,4322617.144,3223498.824
Acer pseudoplatanus,4284298.117,3184655.199
Acer pseudoplatanus,4346442.703,3219123.081
Acer pseudoplatanus,4375219.787,3231030.298
Betula pendula,4357564.472,3352430.799
Betula pendula,4299861.802,3207471.349
Betula pendula,4298260.185,3205842.632
Betula pendula,4367853.315,3260813.814
Betula pendula,4256174.703,3379068.547
Betula pendula,4338731.721,3202937.361
Betula pendula,4366266.406,3261412.103
Betula pendula,4348147.596,3212534.764
Betula pendula,4299514.785,3312666.523
Betula pendula,4331547.531,3173377.46
Betula pendula,4288333.747,3185770.947
Betula pendula,4335878.574,3214008.624
Betula pendula,4300256.872,3265626.789
Betula pendula,4264618.91,3224790.508
Betula pendula,4263607.01,3256308.892
Betula pendula,4298966.889,3208722.014
Betula pendula,4149659.802,3380854.547
Betula pendula,4404087.808,3326968.289
Betula pendula,4228457.026,3416412.578
Betula pendula,4195472.807,3348382.274
Betula pendula,4354179.081,3254323.105
Betula pendula,4284622.034,3181282.152
Betula pendula,4284812.374,3175099.021
Betula pendula,4227722.493,3306434.057
Betula pendula,4244973.323,3294676.403
Betula pendula,4355247.411,3169337.958
Betula pendula,4352322.825,3357189.427
Betula pendula,4207089.371,3325871.737
Betula pendula,4311122.711,3334970.335
Betula pendula,4320059.875,3337455.545
Betula pendula,4209171.501,3343481.224
Betula pendula,4254603.403,3288732.325
Betula pendula,4342344.071,3197183.507
Betula pendula,4299546.281,3206298.402
Betula pendula,4228437.027,3310421.948
Betula pendula,4209700.088,3343045.604
Betula pendula,4262549.202,3256324.326
Betula pendula,4238515.95,3268594.705
Betula pendula,4214879.039,3335410.563
Betula pendula,4196596.643,3314514.61
Betula pendula,4167272.733,3386038.184
Betula pendula,4236811.289,3352743.586
Betula pendula,4366749.122,3171677.153
Betula pendula,4274009.921,3353874.158
Betula pendula,4341160.259,3196830.42
Betula pendula,4196171.968,3335346.817
Betula pendula,4195330.634,3313560.183
Betula pendula,4302263.134,3199874.465
Betula pendula,4195933.693,3315825.486
Betula pendula,4326714.022,3268945.724
Carpinus betulus,4268500,2901500
Carpinus betulus,4219000,2812000
Carpinus betulus,4278500,3097500
Carpinus betulus,4377500,3018500
Carpinus betulus,4194500,3050500
Carpinus betulus,4182500,3074500
Carpinus betulus,4230500,2738500
Carpinus betulus,4476500,3431500
Carpinus betulus,4314500,3084500
Carpinus betulus,4317500,2848500
Carpinus betulus,4212500,3214500
Carpinus betulus,4135500,2963500
Carpinus betulus,4145500,3007500
Carpinus betulus,4343500,3160500
Carpinus betulus,4108500,3021500
Carpinus betulus,4547500,3173500
Carpinus betulus,4646500,3135500
Carpinus betulus,4101000,3170500
Carpinus betulus,4164500,3091500
Carpinus betulus,4184500,2884500
Carpinus betulus,4288500,2733500
Carpinus betulus,4371500,2876500
Carpinus betulus,4121500,3046500
Carpinus betulus,4079500,3010500
Carpinus betulus,4082500,2988500
Carpinus betulus,4162500,2945500
Carpinus betulus,4170500,2916500
Carpinus betulus,4193500,3014500
Carpinus betulus,4118500,2998500
Carpinus betulus,4205500,2856500
Carpinus betulus,4125500,3018500
Carpinus betulus,4177500,2822500
Carpinus betulus,4073500,2942500
Carpinus betulus,4323500,3416500
Carpinus betulus,4375500,2938500
Carpinus betulus,4601500,3088500
Carpinus betulus,4336500,3212500
Carpinus betulus,4168500,2948500
Carpinus betulus,4276500,2937500
Carpinus betulus,4099500,3149500
Carpinus betulus,4485500,3179000
Carpinus betulus,4331500,3156500
Carpinus betulus,4175500,3024500
Carpinus betulus,4149500,3011500
