X,Y,SPECIES NAME
4214500,2936500,Acer pseudoplatanus
4257500,2849500,Acer pseudoplatanus
4284500,2727500,Acer pseudoplatanus
4270500,2923500,Acer pseudoplatanus
4187500,2822500,Acer pseudoplatanus
4300500,3201500,Acer pseudoplatanus
4491500,2736500,Acer pseudoplatanus
4507500,3044500,Acer pseudoplatanus
4154500,2745500,Acer pseudoplatanus
4286500,2939500,Acer pseudoplatanus
4536500,3059500,Acer pseudoplatanus
4288500,3193500,Acer pseudoplatanus
4411500,2713500,Acer pseudoplatanus
4076500,2954500,Acer pseudoplatanus
4232500,2932500,Acer pseudoplatanus
4244500,2893500,Acer pseudoplatanus
4260500,2799500,Acer pseudoplatanus
4138500,2951500,Acer pseudoplatanus
4306500,2895500,Acer pseudoplatanus
4185500,2830500,Acer pseudoplatanus
4290500,2935500,Acer pseudoplatanus
4218500,2786500,Acer pseudoplatanus
4089500,2906500,Acer pseudoplatanus
4284500,2923500,Acer pseudoplatanus
4162500,3080000,Acer pseudoplatanus
4326500,2912500,Acer pseudoplatanus
4280500,2919500,Acer pseudoplatanus
4228500,2884500,Acer pseudoplatanus
4270500,2777500,Acer pseudoplatanus
4503500,3160500,Acer pseudoplatanus
4480500,2851500,Acer pseudoplatanus
4319500,3164500,Acer pseudoplatanus
4389500,2867500,Acer pseudoplatanus
4238500,2790500,Acer pseudoplatanus
4105500,3001500,Acer pseudoplatanus
4427500,3406500,Acer pseudoplatanus
4234500,2896500,Acer pseudoplatanus
4166500,3065500,Acer pseudoplatanus
4364500,3144500,Acer pseudoplatanus
4257500,2873500,Acer pseudoplatanus
4544500,2857500,Acer pseudoplatanus
4313500,2837500,Acer pseudoplatanus
4219500,2860000,Acer pseudoplatanus
4150500,2907500,Acer pseudoplatanus
4292500,2893500,Acer pseudoplatanus
4403500,3083500,Acer pseudoplatanus
4427500,2726500,Acer pseudoplatanus
4329500,2860500,Acer pseudoplatanus
4320500,3504500,Acer pseudoplatanus
4284000,3198000,Acer pseudoplatanus
4662500,3102500,Acer pseudoplatanus
4120500,3096500,Acer pseudoplatanus
4234500,2776500,Acer pseudoplatanus
4370500,3420500,Acer pseudoplatanus
4234500,2752500,Acer pseudoplatanus
4275500,2821500,Acer pseudoplatanus
4547500,3395500,Acer pseudoplatanus
4301500,2837500,Acer pseudoplatanus
4185500,2826500,Acer pseudoplatanus
4445500,3090500,Acer pseudoplatanus
4278500,2735500,Acer pseudoplatanus
4365500,3402500,Acer pseudoplatanus
4155500,2989500,Acer pseudoplatanus
4176500,2780500,Acer pseudoplatanus
4160500,3029500,Acer pseudoplatanus
4279500,2805500,Acer pseudoplatanus
4264500,2789500,Acer pseudoplatanus
4257500,2803500,Acer pseudoplatanus
4329500,3414500,Acer pseudoplatanus
4349500,3428500,Acer pseudoplatanus
4424500,2924500,Acer pseudoplatanus
4234500,2790500,Acer pseudoplatanus
4415500,3014500,Acer pseudoplatanus
4288500,2725500,Acer pseudoplatanus
4295500,2835500,Acer pseudoplatanus
4214500,2744500,Acer pseudoplatanus
4244500,2895500,Acer pseudoplatanus
4264500,2783500,Acer pseudoplatanus
4149500,3365500,Acer pseudoplatanus
4197500,2720500,Acer pseudoplatanus
4356500,3372500,Acer pseudoplatanus
4437500,2946500,Acer pseudoplatanus
4536500,3375500,Acer pseudoplatanus
4242500,2787500,Acer pseudoplatanus
4257500,2809500,Acer pseudoplatanus
4439500,2718500,Acer pseudoplatanus
4160500,2791500,Acer pseudoplatanus
4505500,2944500,Acer pseudoplatanus
4291500,3423500,Acer pseudoplatanus
4355500,3408500,Acer pseudoplatanus
4275500,2961500,Acer pseudoplatanus
4495500,3392500,Acer pseudoplatanus
4313500,2811500,Acer pseudoplatanus
4200500,2916500,Acer pseudoplatanus
4172500,3076500,Acer pseudoplatanus
4580500,2858500,Acer pseudoplatanus
4268500,3233500,Acer pseudoplatanus
4339500,3128500,Acer pseudoplatanus
4288500,3209500,Acer pseudoplatanus
4160500,2759500,Acer pseudoplatanus
4256500,2745500,Acer pseudoplatanus
4326500,2760500,Acer pseudoplatanus
4176500,3070500,Acer pseudoplatanus
4211500,3122500,Acer pseudoplatanus
4264500,2749500,Acer pseudoplatanus
4193500,2832500,Acer pseudoplatanus
4313500,3265500,Acer pseudoplatanus
4137500,2963500,Acer pseudoplatanus
4179500,3018500,Acer pseudoplatanus
4563500,2874500,Acer pseudoplatanus
4167500,2819500,Acer pseudoplatanus
4198500,2748500,Acer pseudoplatanus
4270500,2785500,Acer pseudoplatanus
4343500,2866500,Acer pseudoplatanus
4248500,2927500,Acer pseudoplatanus
4138500,2731500,Acer pseudoplatanus
4200500,2886500,Acer pseudoplatanus
4351500,2706500,Acer pseudoplatanus
4298500,2811000,Acer pseudoplatanus
4278500,2795500,Acer pseudoplatanus
4142500,2937500,Acer pseudoplatanus
4325500,3126500,Acer pseudoplatanus
4295500,2961500,Acer pseudoplatanus
4328500,2728500,Acer pseudoplatanus
4248500,2775500,Acer pseudoplatanus
4606500,3393500,Acer pseudoplatanus
4214500,2742500,Acer pseudoplatanus
